bacteria,filter.D
'Catharanthus roseus' aster yellows phytoplasma,FALSE
[Arcobacter] porcinus,FALSE
[Bacillus] caldolyticus,FALSE
[Brevibacterium] flavum,FALSE
[Brevibacterium] frigoritolerans,FALSE
[Candida] glabrata,FALSE
[Clostridium] hylemonae,FALSE
[Clostridium] innocuum,FALSE
[Clostridium] scindens,FALSE
[Enterobacter] lignolyticus,FALSE
[Eubacterium] brachy,TRUE
[Eubacterium] cellulosolvens,FALSE
[Eubacterium] infirmum,FALSE
[Eubacterium] minutum,FALSE
[Eubacterium] nodatum,FALSE
[Eubacterium] saphenum,FALSE
[Eubacterium] sulci,TRUE
[Eubacterium] yurii,TRUE
[Haemophilus] ducreyi,FALSE
[Mannheimia] succiniciproducens,FALSE
[Mycobacterium] stephanolepidis,FALSE
[Propionibacterium] namnetense,FALSE
[Pseudomonas] mesoacidophila,FALSE
[Ruminococcus] gnavus,FALSE
Abiotrophia defectiva,TRUE
Acaryochloris marina,FALSE
Acetilactobacillus jinshanensis,FALSE
Acetoanaerobium sticklandii,FALSE
Acetobacter aceti,FALSE
Acetobacter ascendens,FALSE
Acetobacter ghanensis,FALSE
Acetobacter orientalis,FALSE
Acetobacter oryzifermentans,FALSE
Acetobacter pasteurianus,FALSE
Acetobacter persici,FALSE
Acetobacter senegalensis,FALSE
Acetobacter sp. KACC 21233,FALSE
Acetobacter tropicalis,FALSE
Acetobacterium sp. KB-1,FALSE
Acetobacterium woodii,FALSE
Acetohalobium arabaticum,FALSE
Acetomicrobium mobile,FALSE
Acholeplasma axanthum,FALSE
Acholeplasma brassicae,FALSE
Acholeplasma hippikon,FALSE
Acholeplasma laidlawii,FALSE
Acholeplasma oculi,FALSE
Acholeplasma palmae,FALSE
Achromobacter denitrificans,FALSE
Achromobacter insolitus,FALSE
Achromobacter insuavis,FALSE
Achromobacter pestifer,FALSE
Achromobacter ruhlandii,FALSE
Achromobacter sp. AONIH1,FALSE
Achromobacter sp. B7,FALSE
Achromobacter sp. MFA1 R4,FALSE
Achromobacter spanius,FALSE
Achromobacter xylosoxidans,TRUE
Acidaminococcus fermentans,FALSE
Acidaminococcus intestini,FALSE
Acidianus ambivalens,FALSE
Acidianus brierleyi,FALSE
Acidianus hospitalis,FALSE
Acidianus manzaensis,FALSE
Acidianus sulfidivorans,FALSE
Acidibrevibacterium fodinaquatile,FALSE
Acidiferrobacter sp. SPIII_3,FALSE
Acidihalobacter aeolianus,FALSE
Acidihalobacter ferrooxydans,FALSE
Acidihalobacter prosperus,FALSE
Acidilobus saccharovorans,FALSE
Acidilobus sp. 7A,FALSE
Acidimicrobium ferrooxidans,FALSE
Acidiphilium multivorum,FALSE
Acidipropionibacterium acidipropionici,TRUE
Acidipropionibacterium jensenii,TRUE
Acidipropionibacterium virtanenii,FALSE
Acidisarcina polymorpha,FALSE
Acidithiobacillus caldus,FALSE
Acidithiobacillus ferridurans,FALSE
Acidithiobacillus ferrivorans,FALSE
Acidithiobacillus ferrooxidans,FALSE
Acidithiobacillus sp. 'AMD consortium',FALSE
Acidithiobacillus thiooxidans,FALSE
Acidobacterium capsulatum,FALSE
Acidobacterium sp. 4Y35,FALSE
Acidothermus cellulolyticus,FALSE
Acidovorax avenae,FALSE
Acidovorax caeni,FALSE
Acidovorax carolinensis,FALSE
Acidovorax cattleyae,FALSE
Acidovorax citrulli,FALSE
Acidovorax ebreus,FALSE
Acidovorax monticola,FALSE
Acidovorax sp. 16-35-5,FALSE
Acidovorax sp. 1608163,FALSE
Acidovorax sp. HDW3,FALSE
Acidovorax sp. JMULE5,FALSE
Acidovorax sp. JS42,FALSE
